invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-24462000007,2020-01-09,5057,KUM & GO #535 / DES MOINES,4960 E BROADWAY AVE,DES MOINES,50317.0,,77,POLK,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-49060000007,2022-07-09,4857,WESTLAND FAST BREAK,1108 W AGENCY RD,WEST BURLINGTON,52655,POINT(-91.169516 40.811817),29,DES MOINES,1082100.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,5.63,8.45,1,8.45,0.02,0.0
INV-24705500018,2020-01-21,5153,OAK STREET STATION LLC,2403 US HWY 18,INWOOD,51240.0,,60,LYON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,305,MHW LTD,100794,RUMCHATA MINICHATAS SUMMER TUMBLER VAP,12,25,5.0,7.5,1,7.5,0.02,0.0
INV-29396200023,2020-08-11,4203,LIQUOR AND TOBACCO OUTLET /,620 W BREMER AVE,WAVERLY,50677.0,POINT(-92.47898 42.725694),9,BREMER,1701100.0,TEMPORARY & SPECIALTY PACKAGES,395,PROXIMO,643,JOSE CUERVO ESPECIAL SILVER W/1L CLASSIC MARGARITA MIX,6,750,11.07,16.61,24,398.64,18.0,4.75
INV-31862800085,2020-11-11,2625,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804.0,,82,SCOTT,1701100.0,TEMPORARY & SPECIALTY PACKAGES,259,HEAVEN HILL BRANDS,2229,CHRISTIAN BROS HOLIDAY NOG,12,750,4.47,6.71,24,161.04,18.0,4.75
INV-54620900053,2023-01-04,5351,DOWNTOWN LIQUOR,1203 5TH ST.,SIOUX CITY,51101,POINT(-96.39468 42.49535),,WOODBURY,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,4626,BUCHANAN DELUXE 12YR,12,750,20.99,31.49,24,755.76,18.0,4.75
INV-24422600097,2020-01-08,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265.0,POINT(-93.773557 41.561197),77,POLK,1012300.0,SINGLE MALT SCOTCH,370,PERNOD RICARD USA,5036,GLENLIVET 12YR,12,750,24.48,36.72,24,881.28,18.0,4.75
INV-14931100058,2018-10-09,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263,POINT(-93.854477 41.615059),25,DALLAS,1012300.0,SINGLE MALT SCOTCH,370,PERNOD RICARD USA,5153,GLENLIVET FOUNDERS RESERVE,12,750,19.98,29.97,24,719.28,18.0,4.75
INV-39028600022,2021-08-09,4137,FAREWAY STORES #989 / WAUKEE,200 SE LAUREL ST,WAUKEE,50263.0,POINT(-93.86786 41.614033),25,DALLAS,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,5346,JOHNNIE WALKER RED,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-22606500019,2019-10-17,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241,POINT(-91.606271 41.721438),52,JOHNSON,1012200.0,SCOTCH WHISKIES,260.0,DIAGEO AMERICAS,5346,JOHNNIE WALKER RED,12,750,13.5,20.25,24,486.0,18.0,4.75
