Дата,Магазин,Код_товара,Количество,Сумма
2018-08-02,NORTHSIDE LIQUOR,INV-13613400005,24,297.12
2018-08-13,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,INV-13814000011,24,561.36
2018-08-15,BENZ DISTRIBUTING,INV-13872300019,24,359.76
2018-08-22,KUM & GO #227 / AMES,INV-13995300015,24,188.4
2018-08-28,MIDTOWN LIQUOR,INV-14107200002,48,139.2
2018-09-06,KUM & GO #92 / ANKENY,INV-14277600002,24,120.24
2018-09-07,YESWAY STORE # 10021/ WEBSTER CITY,INV-14306700001,24,188.4
2018-09-17,HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,INV-14484200130,24,450.0
2018-09-19,CASEY'S GENERAL STORE #3034 / ESTHERVILLE,INV-14527200013,24,121.44
2018-09-26,MISSISSIPPI RIVER DISTILLERY,INV-14689700001,24,900.0
2018-10-04,HY-VEE #3 / BDI / DES MOINES,INV-14851300029,24,651.6
2018-10-05,CASEY'S GENERAL STORE #2284 / COUNCIL BLUFFS,INV-14878100004,24,188.4
2018-10-09,HY-VEE / WAUKEE,INV-14931100058,24,719.28
2018-10-10,HY-VEE / PLEASANT HILL,INV-14962200003,24,413.76
2018-10-11,THE MARKET OF MADRID,INV-15005400002,24,188.4
2018-10-15,CASEY'S GENERAL STORE # 1799/ OSAGE,INV-15030700001,24,188.4
2018-10-18,CENTRAL CITY 2,INV-15135300028,18,571.68
2018-10-22,HY-VEE FOOD STORE #1 / WATERLOO,INV-15180200008,24,560.64
2018-10-23,HY-VEE FOOD STORE / CEDAR FALLS,INV-15231300026,24,450.0
2018-11-01,NORTHSIDE LIQUOR,INV-15426200023,48,221.28
2018-11-05,HY-VEE # 6/ DES MOINES,INV-15468400013,24,575.76
2018-11-07,LIQUOR TOBACCO & GROCERY / FORT DODGE,INV-15549700016,24,120.24
2018-11-12,WAL-MART 0784 / MT PLEASAN,INV-15651600006,24,278.64
2018-11-16,PRONTO MARKET,INV-15760100004,24,120.24
2018-11-29,HY-VEE FOOD AND DRUG / GRAND / WDM,INV-15986000068,24,285.6
2018-12-13,HY-VEE FOOD STORE / CARROLL,INV-16308200087,24,575.76
2018-12-17,WASHINGTON STREET MINI MART,INV-16364300024,36,178.2
2018-12-20,CENTRAL CITY 2,INV-16461500007,24,252.0
2018-12-21,HY-VEE FOOD STORE / CRESTON,INV-16500100045,24,120.24
2018-12-21,RIVERSIDE LIQUOR,INV-16530400019,24,119.28
2018-12-28,HY-VEE WINE AND SPIRITS / DENISON,INV-16624200010,24,378.0
2019-01-08,LOGAN AVE CONVENIENCE STORE / WATERLOO,INV-16816400007,48,244.32
2019-02-05,PRIME MART 7 / WATERLOO,INV-17358600026,48,244.32
2019-02-05,CASEY'S GENERAL STORE #1365 / PAULLINA,INV-17363400002,24,121.44
2019-02-07,KUM & GO #74 / WEST DES MOINES,INV-17420300004,24,120.24
2019-02-15,KUM & GO #28 / NORWALK,INV-17579700034,24,120.24
2019-02-18,HY-VEE FOOD STORE / FAIRFIELD,INV-17617800019,24,121.44
2019-02-19,WAL-MART 0892 / ANKENY,INV-17652600027,24,561.36
