### ТАБЛИЦА: store ###
city,store_location,store_name,store_number,store_id,address,zip_code,county_id
WEST BURLINGTON,POINT(-91.169516 40.811817),WESTLAND FAST BREAK,4857,1,1108 W AGENCY RD,52655.0,2
WAVERLY,POINT(-92.47898 42.725694),LIQUOR AND TOBACCO OUTLET /,4203,2,620 W BREMER AVE,50677.0,4
SIOUX CITY,POINT(-96.39468 42.49535),DOWNTOWN LIQUOR,5351,3,1203 5TH ST.,51101.0,8
WEST DES MOINES,POINT(-93.773557 41.561197),HY-VEE #4 / WDM,2648,4,555 S 51ST ST,50265.0,1
WAUKEE,POINT(-93.854477 41.615059),HY-VEE / WAUKEE,2665,5,1005 E HICKMAN RD,50263.0,6
WAUKEE,POINT(-93.86786 41.614033),FAREWAY STORES #989 / WAUKEE,4137,6,200 SE LAUREL ST,50263.0,6
CORALVILLE,POINT(-91.606271 41.721438),HY-VEE #2 / CORALVILLE,2675,7,3285 CROSSPARK RD,52241.0,7
WEST DES MOINES,POINT(-93.808855 41.598515),HY-VEE WINE AND SPIRITS / WDM,2619,8,1725  74TH ST,50266.0,1
SIOUX CITY,POINT(-96.348659 42.470479),TOBACCO HUT #11 / SIOUX CITY,4884,9,"4523, MORNINGSIDE AVE",51106.0,8
WATERLOO,POINT(-92.335358 42.497854),SYCAMORE CONVENIENCE,2130,10,617 SYCAMORE,50703.0,9
COUNCIL BLUFFS,POINT(-95.8792 41.238092),I-80 LIQUOR / COUNCIL BLUFFS,4312,11,2411 S 24TH ST #1,51501.0,10
DAVENPORT,POINT(-90.62426399 41.557819979),HY-VEE WINE & SPIRITS #2 / DAVENPORT,2625,12,3301 W KIMBERLY RD,52804.0,5
MOUNT VERNON,POINT(-91.410401 41.918328),WILKIE LIQUORS,5102,13,724 1ST  ST  SE,52314.0,12
SIOUX CITY,POINT(-96.364108 42.487752),HY-VEE FOOD STORE #3 / SIOUX CITY,2621,14,3301 GORDON DR,51105.0,8
CENTERVILLE,POINT(-92.874182 40.724175),QUICK SHOP FOODS / CENTERVILLE,4472,15,1023 SOUTH MAIN,52544.0,14
AMANA,POINT(-91.874686 41.801173),CASEY'S GENERAL STORE # 2774/AMANA,5397,16,617 42ND AVE,52203.0,15
CORALVILLE,POINT(-91.600443903 41.684719562),HAWKS LIQUOR & TOBACCO / CORALVILLE,6190,17,2425 2ND STREET,52241.0,7
WEST DES MOINES,POINT(-93.751998 41.598813),TARGET STORE T-0069 / WDM,3871,18,1800  35TH ST,50266.0,1
ALTOONA,POINT(-93.465301 41.644041),HY-VEE FOOD STORE / ALTOONA,2548,19,100 8TH STREET SW,50009.0,1
PELLA,POINT(-92.933577976 41.412726008),WAL-MART 0751 / PELLA,3949,20,1650 WASHINGTON ST,50219.0,11
SIOUX CITY,POINT(-96.41781 42.51984),HY-VEE FOOD STORE #4 / SIOUX CITY,2623,21,2827 HAMILTON BLVD,51104.0,8
ATLANTIC,POINT(-94.98571 41.403853),WAL-MART 3394 / ATLANTIC,3833,22,1905 EAST 7TH ST,50022.0,16
PELLA,POINT(-92.953534 41.381055),NEW STAR / PELLA,5353,23,977 198TH PL.,50219.0,11
CLEAR LAKE,POINT(-93.613385 43.105949),FAREWAY STORES #705 / CLEAR LAKE,4091,24,910 HWY 18 W,50428.0,17
MARTENSDALE,POINT(-93.737459 41.373366),JIFFY EXPRESS / MARTENSDALE,4944,25,"290, HWY 28",50160.0,18
DES MOINES,POINT(-93.602372 41.526289),HY-VEE FOOD STORE #5 / DES MOINES,2527,26,1107 SE ARMY POST RD,50315.0,1
HUMBOLDT,POINT(-94.22713 42.73326),HY-VEE WINE AND SPIRITS / HUMBOLDT,2606,27,1011  13TH ST NORTH,50548.0,58
DEWITT,POINT(-90.539095 41.808535),ANOTHER ROUND / DEWITT,5916,28,622 S 6TH AVE,52742.0,19
FORT DODGE,POINT(-94.1775684149999 42.5082341500001),HY-VEE FORT DODGE WINE AND SPIRITS,2644,29,1511 2ND AVE NORTH,50501.0,69
CEDAR FALLS,POINT(-92.455796 42.517182),HILLSTREET NEWS AND TOBACCO,2106,30,2217 COLLEGE,50613.0,9
CEDAR RAPIDS,POINT(-91.701581 42.030129),HY-VEE #7 / CEDAR RAPIDS,2647,31,5050 EDGEWOOD RD,52411.0,12
PLEASANT HILL,POINT(-93.519187 41.598109),HY-VEE / PLEASANT HILL,2536,32,4815 MAPLE DRIVE,50317.0,1
DES MOINES,POINT(-93.561474976 41.600294016),1ST STOP BEVERAGE SHOP,5443,33,2839 EAST UNIVERSITY AVE.,50317.0,1
OSCEOLA,POINT(-93.800214 41.024891),WAL-MART 4606 / OSCEOLA,3997,34,2400 COLLEGE DR,50213.0,20
SERGEANT BLUFF,POINT(-96.353078 42.400504),FAREWAY STORES #014 / SERGEANT BLUFF,4197,35,700  1ST ST,51054.0,8
ANKENY,POINT(-93.621928 41.705447),HY-VEE FOOD STORE #2 / STATE ANKENY,2666,36,2510 SW STATE ST,50023.0,1
CEDAR FALLS,POINT(-92.44586 42.516198),PRIME MART / CEDAR FALLS,4907,37,2323 MAIN ST,50613.0,9
SIOUX CITY,POINT(-96.346969 42.447396),HY-VEE FOOD STORE / SIOUX CITY,2594,38,4500 SERGEANT ROAD,51106.0,8
ANKENY,POINT(-93.582348 41.704864),WAL-MART 0892 / ANKENY,3625,39,1002 SE NATIONAL DR,50021.0,1
CLEARLAKE,POINT(-93.378772 43.142868),QUICK SHOP / CLEAR LAKE,3456,40,904 N 8TH ST,50428.0,17
STORM LAKE,POINT(-95.198584 42.646794),BEER THIRTY STORM LAKE / STORM LAKE,6229,41,205 E 7TH STREET,50588.0,22
MARSHALLTOWN,POINT(-92.88592 42.006852),YESWAY #1148 / MARSHALLTOWN,5530,42,1701 IOWA AVE E,50158.0,18
COUNCIL BLUFFS,POINT(-95.825137 41.242732),HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,2629,43,1745 MADISON AVE,51503.0,10
DELAWARE,POINT(-91.344117 42.473764),GARY'S LIQUOR & WINE LTD,5171,44,"110, E JEFFERSON ST",52036.0,23
BETTENDORF,POINT(-90.483701 41.552338),HY-VEE WINE AND SPIRITS / BETTENDORF,2603,45,2890 DEVILS GLEN ROAD,52722.0,5
CEDAR FALLS,POINT(-92.440394 42.485042),WAL-MART 0753 / CEDAR FALL,3769,46,525 BRANDILYNN BLVD,50613.0,9
OSKALOOSA,POINT(-92.669924 41.298516),WAL-MART 1393 / OSKALOOSA,3789,47,2203 A AVENUE WEST,52577.0,24
OSCEOLA,POINT(-93.77321 41.030569),HY-VEE FOOD STORE / OSCEOLA,2550,48,510 WEST MCLANE,50213.0,20
CEDAR RAPIDS,POINT(-91.65818 42.01089),HY-VEE FOOD STORE #5 / CEDAR RAPIDS,2590,49,3235 OAKLAND ROAD NE,52402.0,12
DAVENPORT,POINT(-90.525525 41.580212),WAL-MART 1241 / DAVENPORT,3731,50,5811 ELMORE AVE,52807.0,5
IOWA CITY,POINT(-91.551315641 41.644087616),WAL-MART 1721 / IOWA CITY,3980,51,919 HWY 1 WEST,52246.0,7
DYERSVILLE,POINT(-91.111904 42.475277),FAREWAY STORES #008 / DYERSVILLE,4182,52,1207  12TH AVE SE,52040.0,13
LE MARS,POINT(-96.185499 42.780675),WAL-MART 1625 / LEMARS,3742,53,1111 HOLTON DR,51031.0,25
SPIRIT LAKE,POINT(-95.126535 43.416452),WAL-MART 1415 / SPIRIT LAKE,3622,54,2600 HWY 71,51360.0,26
CRESTON,POINT(-94.237509 40.715722),FAREWAY STORES #597 / CRESTON,4291,55,105 E ADAMS ST,50801.0,27
BURLINGTON,POINT(-91.136655 40.814666),HY-VEE #1044 / BURLINGTON,2506,56,3140 AGENCY,52601.0,2
KEOKUK,POINT(-91.403673 40.415303),HY-VEE FOOD STORE / KEOKUK,2555,57,3111 MAIN,52632.0,28
HARLAN,POINT(-95.318597 41.656803),YESWAY # 1009/ HARLAN,5421,58,618 DURANT STREET,51537.0,31
ALTOONA,POINT(-93.50931 41.64919),CASEY'S GENERAL STORE #2916 / ALTOONA,5816,59,170 36TH AVE SW,50009.0,1
STORM LAKE,POINT(-95.202405 42.647492),ALS LIQUOR,5326,60,215 W. MILWAUKEE AVE,50588.0,22
WEBSTER CITY,POINT(-93.835808967 42.469290007),CASEY'S GENERAL STORE #1828 / WEBSTER CITY,5831,61,1300 2ND ST,50595.0,42
MASON CITY,POINT(-93.208614 43.152301),LIQUOR TOBACCO & GROCERY - MASON CITY,5859,62,18 NORTH MONROE AVENUE,50401.0,17
FORT DODGE,POINT(-94.16753 42.5084),CASEY'S GENERAL STORE #2014 / FORT DODGE,5557,63,2206 2ND AVE N,50501.0,69
CEDAR RAPIDS,POINT(-91.666314179 41.94469594),BREW #54 / CEDAR RAPIDS,10125,64,3301 J STREET SOUTHWEST,52404.0,12
SIOUX CITY,POINT(-96.405013 42.504732),KUM & GO #226 / SIOUX CITY,4558,65,1373 PIERCE ST,51105.0,8
ARMSTRONG,POINT(-94.48294 43.39274),CASEY'S GENERAL STORE #3029 / ARMSTRONG,4854,66,"307, S 4TH AVE",50514.0,45
MASON CITY,POINT(-93.201061 43.163663),NORTHSIDE LIQUOR,5251,67,"1303, NORTH FEDERAL",50401.0,17
SHENANDOAH,POINT(-95.38464 40.765869),ROCSTOP,4937,68,1310 W SHERIDAN AVE,51601.0,32
HAMBURG,POINT(-95.654604 40.605217),CASEY'S GENERAL STORE #1330 / HAMBURG,4573,69,1211 WASHINGTON ST,51640.0,33
